"id","screen_name"
608944907,"CharleanMilton"
550097439,"VIPLEASINGUK"
20174207,"DL_Elliott"
78778106,"DorothyMB"
15278752,"Earth_Architect"
1062993338,"francescofatto3"
59642573,"focusonamerica"
29995481,"AHS1974"
72010438,"Nick569"
2196759704,"new2cda"
108063967,"GROMissouri"
109854452,"ohiomail"
85113011,"InvictusToni"
156679973,"veloz74"
353063439,"walymury"
30741989,"JBucknoff"
14370819,"downwithtyranny"
3497941,"owillis"
387162020,"FlowerInFaith"
2293393258,"leftprog"
44730274,"druid_driver"
22926853,"deaniemills"
962683434,"caseysdream"
44618911,"QrsChocolate"
544564185,"MyEvilTwinSpeak"
2179089168,"teka21bat"
283324248,"rasbiker"
501276670,"BradKRIDC"
1346613024,"PopThaPlanet"
1861708165,"junaidk81498"
23269092,"jonhinck"
451043636,"OGatlin"
18516303,"freshnsteezy"
1667909474,"wholden42"
904587835,"vdgaines"
14446950,"cat_travis"
26031465,"acumenic"
385696419,"2dialogue"
115267030,"tweet4pedro"
2325935407,"sallmastram"
1933192507,"BlomquistKorinz"
703537136,"CheriseDesota"
497239737,"jsjsjacobs"
556380493,"JuanCarloPadron"
51071558,"zenarap"
112537940,"togianphotog"
162708536,"twinkiesandwine"
1337712294,"diagostinoj"
856732580,"Messygirl517"
1135362566,"W3m6m0Mitchell"
1697688301,"Liz_atMaxwell"
62364413,"BevOpie"
17169801,"alanburger"
279898901,"Loekiboy"
108052332,"CannaReport"
1458247532,"RBL1910"
21695641,"lovelylizzay"
286322844,"EricKipnis1"
14275426,"janekleeb"
241591923,"sherights"
153080978,"ricardonotes"
65699341,"fuertecorazon"
743747108,"cwabobmaster"
2289092823,"GaugedBeauti"
16819937,"dmcrane"
546490867,"CalSchoonover"
243545094,"InnaMood"
16474992,"winterthur"
42985017,"EdiblyOrganic"
35643023,"robvogt"
1933777994,"neta_signe"
42915601,"WIFP"
228015335,"SpryGuy"
1137986071,"SafeensS"
51197241,"GerardHarbison"
1314100418,"Felicia_Willems"
632633631,"lakia_p"
286897024,"whathavewehear"
124953604,"KingsCupRun27"
1861307197,"InMyAstoria"
772238455,"DominicanVols"
1570811707,"passiveanerkist"
101810576,"jrbaltmd57"
1156172112,"cvaladezmata"
981867829,"midclassmoderat"
1103719536,"UFCW1000"
1022742007,"JWJ_Chris"
387426436,"occupyfreedom1"
1062584773,"M2LFoundation"
15174190,"RedwoodGirl"
2318240730,"TroyaltyOmar"
928163065,"mccojr"
1273303082,"C0NGR3SS"
342342741,"AAlsanibi"
23623204,"BleakGrrl"
27820326,"cherkendy"
154426278,"irish127"
947122904,"MattinglyRyan23"
26389140,"miekecar"
25003018,"bakatammi"
189806241,"Twitlertwit"
