"retweeter","retweeted"
248256515,813286
248421948,813286
601462908,813286
366116551,1341994638
1341968209,813286
110970267,813286
17188405,813286
258442293,813286
132503673,813286
2307794951,813286
171423212,813286
2225155105,813286
1870534934,68754498
757480794,813286
1668241957,813286
188940861,813286
268037601,813286
110970267,813286
110867430,813286
280641248,813286
2305302222,1341994638
33621293,813286
140762917,813286
28625981,813286
13726322,1341994638
475344393,813286
765994482,813286
874869986,813286
1933610960,813286
476764560,813286
268022802,813286
326839869,813286
556069953,813286
2324202697,813286
1602173694,813286
16892534,68754498
388692731,813286
2303322132,813286
48091134,813286
2314254842,1341994638
248405187,1341994638
792339426,813286
104236061,813286
701478169,813286
207072407,813286
41056921,813286
361694182,813286
407190548,813286
452489522,813286
15238195,813286
1977516883,813286
2238099439,813286
2272224815,813286
520621902,813286
88312271,813286
876914988,813286
2285893093,813286
275063675,813286
26101873,813286
1699611067,813286
559259160,813286
65539207,813286
109605498,813286
628408461,813286
2263737588,813286
20207106,813286
584435920,813286
154963990,68754498
1463038680,813286
211191573,813286
140465695,813286
382985071,813286
423542165,813286
55600697,1341994638
1418835816,813286
282311572,68754498
2233189323,813286
120307855,813286
1485882079,68754498
283161217,813286
67023555,813286
464305886,813286
605939552,813286
1135362566,813286
509850595,813286
1933610960,813286
75153074,813286
47492511,813286
298685340,26267040
2325900216,813286
1104966517,813286
1543773146,813286
73355957,813286
112255070,813286
26931632,813286
36654629,813286
1000990088,813286
453499347,813286
303678173,813286
326793694,813286
315858046,813286
38569470,813286
2318744544,813286
2147857142,813286
366906507,813286
397949068,813286
1911198578,813286
1499472000,813286
578628293,813286
269822892,813286
81418687,813286
343091775,813286
98033193,813286
247913034,813286
428014341,813286
261542515,813286
1279240448,813286
371058595,813286
1958223914,813286
1705666177,813286
16474992,68754498
132393355,813286
79593368,813286
104539740,813286
462232711,813286
395399223,813286
17479538,68754498
104280237,813286
41394169,813286
150088598,813286
301220426,813286
30007941,813286
1537998109,813286
220747924,813286
161327233,813286
2326136263,813286
937086786,813286
2242749500,2178748327
349076996,813286
792440750,813286
84028542,813286
88828486,813286
25438691,813286
171269234,813286
1597067257,813286
604280223,813286
1328431598,1967028319
47774975,813286
68014922,813286
1534758590,813286
345391420,813286
152729687,813286
26415984,813286
32513452,813286
890540299,813286
2171315682,813286
391740160,813286
534037527,369505837
425522125,813286
496231603,813286
364049911,813286
231468914,813286
24704882,813286
1969473990,15667802
28219011,813286
889986612,68754498
178953375,813286
725053650,813286
1380768114,813286
302374893,133372480
2321543197,813286
720363373,813286
1672968096,813286
251480518,813286
1449888721,813286
565891253,813286
21370657,813286
303287178,813286
509921543,813286
7271912,813286
280333878,813286
1068596719,813286
2236692708,813286
260783558,813286
148035397,813286
899113801,813286
115843888,813286
716158577,813286
204584481,68754498
38540429,813286
386076196,813286
393566271,813286
36991113,813286
771196220,813286
259894466,813286
485409656,813286
307060610,813286
321289199,813286
344953081,813286
480872931,813286
26031465,813286
450882134,813286
73046125,813286
102229584,813286
2325956672,813286
91768882,438467375
232366077,813286
549116832,813286
457281041,813286
261879201,259046614
924478602,813286
103962014,813286
2197351775,259046614
98452250,813286
95715924,813286
156620796,813286
165124471,813286
950426113,259046614
165124471,216540416
165124471,1891100096
114076253,813286
165124471,2292586033
148611577,813286
165124471,384507614
165124471,2178748327
927762295,813286
1849658090,813286
766213591,813286
291574217,813286
43290113,813286
445031921,813286
123956413,813286
69366942,14450765
347087372,259134555
104299909,813286
983785200,813286
80213605,813286
2153433275,813286
1855461104,813286
840491246,813286
630596133,15667802
389751327,813286
1950686528,813286
15752446,16296069
20346028,813286
140955534,813286
259673376,813286
2281917254,813286
307931600,813286
65478629,18554720
45017839,813286
2295216380,813286
1109147058,259046614
14941817,109071031
1173824917,813286
138277146,813286
599418601,813286
858946536,813286
1704876025,813286
53940188,813286
211781261,813286
289836894,61318348
49054108,813286
886780412,813286
239904368,813286
2279205192,813286
246082925,361321755
201315871,813286
435104817,813286
1949677712,813286
