"bioid","id","name","gender","type","party","twitter","facebook","youtube"
"J000295","02154","David P. Joyce","M","rep","Republican","RepDaveJoyce","RepDaveJoyce","repdavejoyce"
"J000297","02278","Evan H. Jenkins","M","rep","Republican","RepEvanJenkins","RepEvanJenkins",NA
"J000298",NA,"Pramila Jayapal","F","rep","Democrat","RepJayapal","RepJayapal",NA
"J000299",NA,"Mike Johnson","M","rep","Republican","RepMikeJohnson","RepMikeJohnson",NA
"K000009","00616","Marcy Kaptur","F","rep","Democrat","RepMarcyKaptur","RepresentativeMarcyKaptur","USRepMarcyKaptur"
"K000188","01498","Ron Kind","M","rep","Democrat","RepRonKind","repronkind","RepRonKind"
"K000210","00635","Peter T. King","M","rep","Republican","RepPeteKing",NA,"RepPeterKing"
"K000362","01724","Steve King","M","rep","Republican","SteveKingIA","stevekingia","stevekingia"
"K000367","01826","Amy Klobuchar","F","sen","Democrat",NA,NA,"senatorklobuchar"
"K000375","02025","William R. Keating","M","rep","Democrat","USRepKeating","Congressman.Keating","RepBillKeating"
"K000376","02051","Mike Kelly","M","rep","Republican","MikeKellyPA","191056827594903","repmikekelly"
"K000378","02014","Adam Kinzinger","M","rep","Republican","RepKinzinger","RepKinzinger","RepAdamKinzinger"
"K000379","02172","Joseph P. Kennedy III","M","rep","Democrat","RepJoeKennedy","301936109927957",NA
"K000380","02134","Daniel T. Kildee","M","rep","Democrat","RepDanKildee","RepDanKildee","RepDanKildee"
"K000381","02169","Derek Kilmer","M","rep","Democrat","RepDerekKilmer","derek.kilmer",NA
"K000382","02145","Ann M. Kuster","F","rep","Democrat","RepAnnieKuster","CongresswomanAnnieKuster","RepKuster"
"K000383","02185","Angus S. King, Jr.","M","sen","Independent","SenAngusKing","SenatorAngusSKingJr","SenatorAngusKing"
"K000384","02176","Tim Kaine","M","sen","Democrat","SenKaineOffice","SenatorKaine","SenatorTimKaine"
"K000385","02190","Robin L. Kelly","F","rep","Democrat","RepRobinKelly","reprobinkelly",NA
"K000386","02264","John Katko","M","rep","Republican","RepJohnKatko","RepJohnKatko",NA
"K000387","02228","Stephen Knight","M","rep","Republican","SteveKnight25","RepresentativeSteveKnight",NA
"K000388","02294","Trent Kelly","M","rep","Republican","reptrentkelly","reptrentkelly",NA
"K000389",NA,"Ro Khanna","M","rep","Democrat","RepRoKhanna","RepRoKhanna",NA
"K000390",NA,"Ruben J. Kihuen","M","rep","Democrat","RepKihuen","RepKihuen",NA
"K000391",NA,"Raja Krishnamoorthi","M","rep","Democrat","congressmanraja","congressmanraja",NA
"K000392",NA,"David Kustoff","M","rep","Republican","repdavidkustoff","RepDavidKustoff",NA
"K000393",NA,"John Kennedy","M","sen","Republican","SenJohnKennedy","JohnKennedyLouisiana",NA
"L000174","01383","Patrick J. Leahy","M","sen","Democrat","SenatorLeahy","SenatorPatrickLeahy","SenatorPatrickLeahy"
"L000263","00683","Sander M. Levin","M","rep","Democrat","RepSandyLevin","RepSandyLevin","mi12yes"
"L000287","00688","John Lewis","M","rep","Democrat","RepJohnLewis","RepJohnLewis","repjohnlewis"
"L000397","00701","Zoe Lofgren","F","rep","Democrat","RepZoeLofgren","zoelofgren","RepZoeLofgren"
"L000480","00709","Nita M. Lowey","F","rep","Democrat","NitaLowey","RepLowey","nitalowey"
"L000491","00711","Frank D. Lucas","M","rep","Republican","RepFrankLucas","RepFrankLucas","RepFrankLucas"
"L000551","01501","Barbara Lee","F","rep","Democrat","RepBarbaraLee","RepBarbaraLee","RepLee"
"L000554","00699","Frank A. LoBiondo","M","rep","Republican","RepLoBiondo","FrankLoBiondo","USRepFrankLoBiondo"
"L000557","01583","John B. Larson","M","rep","Democrat","RepJohnLarson","RepJohnLarson","RepJohnLarson"
"L000559","01668","James R. Langevin","M","rep","Democrat","JimLangevin","CongressmanJimLangevin","jimlangevin"
"L000560","01675","Rick Larsen","M","rep","Democrat","RepRickLarsen","RepRickLarsen","congressmanlarsen"
"L000562","01686","Stephen F. Lynch","M","rep","Democrat","RepStephenLynch","repstephenlynch","RepLynch"
"L000563","01781","Daniel Lipinski","M","rep","Democrat","RepLipinski","repdanlipinski","lipinski03"
"L000564","01834","Doug Lamborn","M","rep","Republican","RepDLamborn","CongressmanDougLamborn","CongressmanLamborn"
"L000565","01846","David Loebsack","M","rep","Democrat","DaveLoebsack","DaveLoebsack","congressmanloebsack"
"L000566","01885","Robert E. Latta","M","rep","Republican","BobLatta","boblatta","CongressmanBobLatta"
"L000567","01936","Leonard Lance","M","rep","Republican","RepLanceNJ7","CongressmanLance","CongressmanLance"
"L000569","01931","Blaine Luetkemeyer","M","rep","Republican","RepBlainePress","BlaineLuetkemeyer","BLuetkemeyer"
"L000570","01939","Ben Ray Luján","M","rep","Democrat","RepBenRayLujan","RepBenRayLujan","Repbenraylujan"
"L000573","02011","Raúl R. Labrador","M","rep","Republican","Raul_Labrador","raul.r.labrador","RepLabrador"
"L000575","02050","James Lankford","M","sen","Republican","SenatorLankford","SenatorLankford","SenatorLankford"
"L000576","02033","Billy Long","M","rep","Republican","USRepLong","Rep.Billy.Long","MOdistrict7"
"L000577","02080","Mike Lee","M","sen","Republican","SenMikeLee","senatormikelee","senatormikelee"
"L000578","02100","Doug LaMalfa","M","rep","Republican","RepLaMalfa","RepLaMalfa","RepLaMalfa"
"L000579","02111","Alan S. Lowenthal","M","rep","Democrat","RepLowenthal","RepLowenthal","RepLowenthal"
"L000580","02146","Michelle Lujan Grisham","F","rep","Democrat","RepLujanGrisham","RepLujanGrisham","RepLujanGrisham"
"L000581","02252","Brenda L. Lawrence","F","rep","Democrat","RepLawrence","395759603917487",NA
"L000582","02230","Ted Lieu","M","rep","Democrat","RepTedLieu","RepTedLieu",NA
"L000583","02238","Barry Loudermilk","M","rep","Republican","RepLoudermilk","reploudermilk",NA
"L000584","02271","Mia B. Love","F","rep","Republican","repmialove","repmialove",NA
"L000585","02295","Darin LaHood","M","rep","Republican","RepLaHood","replahood",NA
"L000586",NA,"Al Lawson, Jr.","M","rep","Democrat","RepAlLawsonJr","RepAlLawsonJr",NA
"L000587",NA,"Jason Lewis","M","rep","Republican","RepJasonLewis","RepJasonLewis",NA
"M000087","00729","Carolyn B. Maloney","F","rep","Democrat","RepMaloney",NA,"carolynbmaloney"
"M000133","00735","Edward J. Markey","M","sen","Democrat","SenMarkey","EdJMarkey","RepMarkey"
"M000303","00754","John McCain","M","sen","Republican","SenJohnMcCain","johnmccain","SenatorJohnMcCain"
"M000312","01504","James P. McGovern","M","rep","Democrat","RepMcGovern","RepJimMcGovern","repjimmcgovern"
"M000355","01395","Mitch McConnell","M","sen","Republican","McConnellPress","mitchmcconnell",NA
"M000639","00791","Robert Menendez","M","sen","Democrat","SenatorMenendez","senatormenendez","SenatorMenendezNJ"
"M000934","01507","Jerry Moran","M","sen","Republican","JerryMoran","jerrymoran","senatorjerrymoran"
"M001111","01409","Patty Murray","F","sen","Democrat","PattyMurray",NA,"SenatorPattyMurray"
"M001137","01506","Gregory W. Meeks","M","rep","Democrat","GregoryMeeks","gregorymeeksny05","gwmeeks"
"M001143","01653","Betty McCollum","F","rep","Democrat","BettyMcCollum04","repbettymccollum",NA
"M001151","01744","Tim Murphy","M","rep","Republican","RepTimMurphy","reptimmurphy","TimMurphyPA18"
"M001153","01694","Lisa Murkowski","F","sen","Republican","LisaMurkowski","SenLisaMurkowski","senatormurkowski"
"M001156","01792","Patrick T. McHenry","M","rep","Republican","PatrickMcHenry","CongressmanMcHenry","CongressmanMcHenry"
"M001157","01804","Michael T. McCaul","M","rep","Republican","RepMcCaul","michaeltmccaul","MichaelTMcCaul"
"M001158","01806","Kenny Marchant","M","rep","Republican","RepKenMarchant","RepKennyMarchant","RepKennyMarchant"
"M001159","01809","Cathy McMorris Rodgers","F","rep","Republican","CathyMcMorris","mcmorrisrodgers","mcmorrisrodgers"
"M001160","01811","Gwen Moore","F","rep","Democrat","RepGwenMoore","GwenSMoore","RepGwenMoore"
"M001163","01814","Doris O. Matsui","F","rep","Democrat","DorisMatsui","doris.matsui","RepDorisMatsui"
"M001165","01833","Kevin McCarthy","M","rep","Republican","GOPLeader","CongressmanKevinMcCarthy","repkevinmccarthy"
"M001166","01832","Jerry McNerney","M","rep","Democrat","RepMcNerney","jerrymcnerney","RepJerryMcNerney"
"M001169","01837","Christopher Murphy","M","sen","Democrat","senmurphyoffice","chrismurphyct","senchrismurphy"
"M001170","01820","Claire McCaskill","F","sen","Democrat","McCaskillOffice","senatormccaskill","SenatorMcCaskill"
"M001176","01900","Jeff Merkley","M","sen","Democrat","SenJeffMerkley","jeffmerkley","SenatorJeffMerkley"
"M001177","01908","Tom McClintock","M","rep","Republican","RepMcClintock","81125319109","McClintockCA04"
"M001179","02053","Tom Marino","M","rep","Republican","RepTomMarino","CongressmanMarino","RepMarino"
"M001180","02074","David B. McKinley","M","rep","Republican","RepMcKinley","RepMcKinley","RepDavidMcKinley"
"M001181","02052","Patrick Meehan","M","rep","Republican","RepMeehan","CongressmanPatrickMeehan","repmeehan"
"M001183","01983","Joe Manchin, III","M","sen","Democrat","Sen_JoeManchin","JoeManchinIII","SenatorJoeManchin"
"M001184","02094","Thomas Massie","M","rep","Republican","RepThomasMassie","RepThomasMassie","repthomasmassie"
"M001185","02150","Sean Patrick Maloney","M","rep","Democrat","RepSeanMaloney","RepSeanMaloney",NA
"M001187","02142","Mark Meadows","M","rep","Republican","RepMarkMeadows","Repmarkmeadows","RepMarkMeadows"
"M001188","02148","Grace Meng","F","rep","Democrat","RepGraceMeng","repgracemeng",NA
"M001189","02130","Luke Messer","M","rep","Republican","RepLukeMesser","RepLukeMesser","RepLukeMesser"
"M001190","02156","Markwayne Mullin","M","rep","Republican","RepMullin","RepMullin",NA
"M001193","02258","Thomas MacArthur","M","rep","Republican","RepTomMacArthur","CongressmanTomMacArthur",NA
"M001194","02248","John R. Moolenaar","M","rep","Republican","RepMoolenaar","RepMoolenaar",NA
"M001195","02277","Alexander X. Mooney","M","rep","Republican","RepAlexMooney","CongressmanAlexMooney",NA
"M001196","02246","Seth Moulton","M","rep","Democrat","teammoulton","CongressmanSethMoulton",NA
"M001197","02225","Martha McSally","F","rep","Republican","RepMcSally","RepMcSally",NA
"M001198",NA,"Roger W. Marshall","M","rep","Republican","RepMarshall","rogermarshallmd",NA
"M001199",NA,"Brian J. Mast","M","rep","Republican","repbrianmast","repbrianmast","repbrianmast"
"M001200",NA,"A. Donald McEachin","M","rep","Democrat","RepMcEachin","RepMcEachin",NA
"M001201",NA,"Paul Mitchell","M","rep","Republican","RepPaulMitchell","reppaulmitchell",NA
"M001202",NA,"Stephanie N. Murphy","F","rep","Democrat","RepStephMurphy","RepStephMurphy","RepStephMurphy"
"N000002","00850","Jerrold Nadler","M","rep","Democrat","RepJerryNadler","CongressmanNadler","congressmannadler"
"N000015","00854","Richard E. Neal","M","rep","Democrat","RepRichardNeal","reprichardneal","RepRichardENeal"
"N000032","00859","Bill Nelson","M","sen","Democrat","SenBillNelson",NA,"senbillnelson"
"N000127","00867","Richard M. Nolan","M","rep","Democrat","USRepRickNolan","UsRepRickNolan","USRepRickNolan"
"N000147","00868","Eleanor Holmes Norton","F","rep","Democrat","EleanorNorton","CongresswomanNorton","EleanorHNorton"
"N000179","01602","Grace F. Napolitano","F","rep","Democrat","GraceNapolitano","RepGraceNapolitano","RepGraceNapolitano"
"N000181","01710","Devin Nunes","M","rep","Republican","Rep_DevinNunes",NA,"RepDevinNunes"
"N000184","02060","Kristi L. Noem","F","rep","Republican","RepKristiNoem",NA,"RepKristiNoem"
"N000188","02202","Donald Norcross","M","rep","Democrat","DonaldNorcross","DonaldNorcrossNJ",NA
"N000189","02275","Dan Newhouse","M","rep","Republican","RepNewhouse","RepNewhouse",NA
"O000168","01955","Pete Olson","M","rep","Republican","RepPeteOlson","Rep.PeteOlson",NA
"O000170","02162","Beto O'Rourke","M","rep","Democrat","RepBetoORourke","betoorourketx16","betoorourketx16"
"O000171",NA,"Tom O'Halleran","M","rep","Democrat","repohalleran","repohalleran",NA
"P000034","00887","Frank Pallone, Jr.","M","rep","Democrat","FrankPallone","repfrankpallone","repfrankpallone"
"P000096","01510","Bill Pascrell, Jr.","M","rep","Democrat","BillPascrell","pascrell","RepPascrell"
"P000197","00905","Nancy Pelosi","F","rep","Democrat","NancyPelosi","NancyPelosi","nancypelosi"
"P000258","00910","Collin C. Peterson","M","rep","Democrat",NA,NA,NA
"P000449","00924","Rob Portman","M","sen","Republican","SenRobPortman","senrobportman","SenRobPortman"
"P000523","00930","David E. Price","M","rep","Democrat","RepDavidEPrice","RepDavidEPrice","RepDavidPrice"
"P000588","01738","Stevan Pearce","M","rep","Republican","RepStevePearce","RepStevePearce","NMStevePearce"
"P000592","01802","Ted Poe","M","rep","Republican","JudgeTedPoe","106631626049851","CongressmanTedPoe"
"P000593","01835","Ed Perlmutter","M","rep","Democrat","RepPerlmutter","RepPerlmutter","RepPerlmutter"
"P000594","01930","Erik Paulsen","M","rep","Republican","RepErikPaulsen","CongressmanErikPaulsen","reperikpaulsen"
"P000595","01929","Gary C. Peters","M","sen","Democrat","SenGaryPeters","SenGaryPeters","RepGaryPeters"
"P000597","01927","Chellie Pingree","F","rep","Democrat","ChelliePingree","ChelliePingree","congresswomanpingree"
"P000598","01910","Jared Polis","M","rep","Democrat","RepJaredPolis","jaredpolis","JaredPolis31275"
"P000599","01915","Bill Posey","M","rep","Republican","CongBillPosey","bill.posey15","CongressmanPosey"
"P000601","02035","Steven M. Palazzo","M","rep","Republican","CongPalazzo","stevenpalazzo","CongressmanPalazzo"
"P000603","02082","Rand Paul","M","sen","Republican",NA,"SenatorRandPaul","SenatorRandPaul"
"P000604","02097","Donald M. Payne, Jr.","M","rep","Democrat","RepDonaldPayne","DonaldPayneJr",NA
"P000605","02157","Scott Perry","M","rep","Republican","RepScottPerry","repscottperry","RepScottPerry"
"P000606","02141","Robert Pittenger","M","rep","Republican","RepPittenger","congressmanpittenger","CongressmanPittenger"
"P000607","02171","Mark Pocan","M","rep","Democrat","RepMarkPocan","repmarkpocan","repmarkpocan"
"P000608","02113","Scott H. Peters","M","rep","Democrat","RepScottPeters","RepScottPeters",NA
"P000609","02221","Gary J. Palmer","M","rep","Republican","USRepGaryPalmer","CongressmanGaryPalmer",NA
"P000610","02274","Stacey E. Plaskett","F","rep","Democrat","staceyplaskett","repstaceyplaskett",NA
"P000611","02247","Bruce Poliquin","M","rep","Republican","RepPoliquin","RepPoliquin",NA
"P000612","02286","David Perdue","M","sen","Republican","sendavidperdue","SenatorDavidPerdue",NA
"P000613",NA,"Jimmy Panetta","M","rep","Democrat","RepJimmyPanetta","RepJimmyPanetta",NA
"Q000023","01967","Mike Quigley","M","rep","Democrat","RepMikeQuigley","repmikequigley","RepMikeQuigley"
"R000122","00949","Jack Reed","M","sen","Democrat","SenJackReed","SenJackReed","SenatorReed"
"R000307","00968","Pat Roberts","M","sen","Republican","SenPatRoberts","SenPatRoberts","SenPatRoberts"
"R000395","00977","Harold Rogers","M","rep","Republican","RepHalRogers","CongressmanHalRogers","RepHalRogers"
"R000409","00979","Dana Rohrabacher","M","rep","Republican","reprohrabacher","RepRohrabacher","RepDanaRohrabacher"
"R000435","00985","Ileana Ros-Lehtinen","F","rep","Republican","RosLehtinen","iroslehtinen","IleanaRosLehtinen"
"R000486","00997","Lucille Roybal-Allard","F","rep","Democrat","RepRoybalAllard","RepRoybalAllard","RepRoybalAllard"
"R000487","00998","Edward R. Royce","M","rep","Republican","RepEdRoyce","EdRoyce","RepEdRoyce"
"R000515","01003","Bobby L. Rush","M","rep","Democrat","RepBobbyRush","congressmanbobbyrush","CongressmanRush"
"R000570","01560","Paul D. Ryan","M","rep","Republican","SpeakerRyan","speakerryan","reppaulryan"
"R000575","01704","Mike Rogers","M","rep","Republican","RepMikeRogersAL","CongressmanMikeDRogers","MikeRogersAL03"
"R000576","01728","C. A. Dutch Ruppersberger","M","rep","Democrat","Call_Me_Dutch","DutchRupp","ruppersberger"
"R000577","01756","Tim Ryan","M","rep","Democrat","RepTimRyan","timryan","timryanvision"
"R000578","01810","David G. Reichert","M","rep","Republican","DaveReichert","repdavereichert","repdavereichert"
"R000580","01848","Peter J. Roskam","M","rep","Republican","PeterRoskam","PeterRoskam","RoskamIL06"
"R000582","01954","David P. Roe","M","rep","Republican","DrPhilRoe","DrPhilRoe","drphilroe"
"R000583","01916","Thomas J. Rooney","M","rep","Republican","TomRooney","reptomrooney","CongressmanRooney"
"R000584","01896","James E. Risch","M","sen","Republican","SenatorRisch",NA,"SenatorJamesRisch"
"R000585","01982","Tom Reed","M","rep","Republican","RepTomReed","RepTomReed","CongressmanTomReed"
"R000586","02048","James B. Renacci","M","rep","Republican","RepJimRenacci","repjimrenacci","repjimrenacci"
"R000588","02023","Cedric L. Richmond","M","rep","Democrat","RepRichmond","RepRichmond","RepCedricRichmond"
"R000591","01986","Martha Roby","F","rep","Republican","RepMarthaRoby","Representative.Martha.Roby","reproby"
"R000592","02017","Todd Rokita","M","rep","Republican","ToddRokita","RepToddRokita","reptoddrokita"
"R000593","02003","Dennis A. Ross","M","rep","Republican","RepDennisRoss","dennis.ross.376","RepDennisRoss"
"R000595","02084","Marco Rubio","M","sen","Republican","SenRubioPress","SenatorMarcoRubio","SenatorMarcoRubio"
"R000597","02160","Tom Rice","M","rep","Republican","RepTomRice","reptomrice","RepTomRice"
"R000598","02158","Keith J. Rothfus","M","rep","Republican","KeithRothfus","keithrothfus","reprothfus"
"R000599","02109","Raul Ruiz","M","rep","Democrat","CongressmanRuiz","CongressmanRaulRuizMD","repraulruiz"
"R000600","02222","Aumua Amata Coleman Radewagen","F","rep","Republican","RepAmata","aumuaamata",NA
"R000601","02268","John Ratcliffe","M","rep","Republican","RepRatcliffe","RepRatcliffe",NA
"R000602","02262","Kathleen M. Rice","F","rep","Democrat","RepKathleenRice","RepKathleenRice",NA
"R000603","02256","David Rouzer","M","rep","Republican","RepDavidRouzer","RepRouzer",NA
"R000604","02265","Steve Russell","M","rep","Republican","RepRussell","reprussell",NA
"R000605","02288","Mike Rounds","M","sen","Republican","SenatorRounds","SenatorMikeRounds",NA
"R000606",NA,"Jamie Raskin","M","rep","Democrat","repraskin","repraskin",NA
"R000607",NA,"Francis Rooney","M","rep","Republican","RepRooney","RepRooney",NA
"R000608",NA,"Jacky Rosen","F","rep","Democrat","repjackyrosen","RepJackyRosen",NA
"R000609",NA,"John H. Rutherford","M","rep","Republican","RepRutherfordFL","RepRutherfordFL",NA
"S000033","01010","Bernard Sanders","M","sen","Independent","SenSanders","senatorsanders","senatorsanders"
"S000051","01012","Mark Sanford","M","rep","Republican","RepSanfordSC","RepSanfordSC","RepSanfordSC"
"S000148","01036","Charles E. Schumer","M","sen","Democrat","SenSchumer","senschumer","SenatorSchumer"
"S000185","01037","Robert C. ""Bobby"" Scott","M","rep","Democrat","BobbyScott","RepBobbyScott","repbobbyscott"
"S000244","01041","F. James Sensenbrenner, Jr.","M","rep","Republican","JimPressOffice","RepSensenbrenner","RepSensenbrenner"
"S000248","01042","José E. Serrano","M","rep","Democrat","RepJoseSerrano","RepJoseSerrano",NA
"S000250","01525","Pete Sessions","M","rep","Republican","PeteSessions","petesessions","PeteSessions"
"S000320","01049","Richard C. Shelby","M","sen","Republican","SenShelby","RichardShelby","SenatorRichardShelby"
"S000344","01526","Brad Sherman","M","rep","Democrat","BradSherman","63158229861","shermanca27"
"S000364","01527","John Shimkus","M","rep","Republican","RepShimkus","repshimkus","repshimkus"
"S000480","01069","Louise McIntosh Slaughter","F","rep","Democrat","LouiseSlaughter","RepLouiseSlaughter","louiseslaughter"
"S000510","01528","Adam Smith","M","rep","Democrat","RepAdamSmith","RepAdamSmith","CongressmanAdamSmith"
"S000522","01071","Christopher H. Smith","M","rep","Republican","RepChrisSmith","RepChrisSmith","USRepChrisSmith"
